Mass Number (AAA),"Atomic Number (ZZZ); i=0 (gs); i=1,2 (isomers); i=3,4 (levels); i=5 (resonance); i=8,9 (IAS); i=3,4,5,6 can also indicate isomers (when more than two isomers are presented in a nuclide)",Element ,"s=m,n (isomers); s=p,q (levels); s=r (reonance); s=i,j (IAS); s=p,q,r,x can also indicate isomers (when more than two isomers are presented in a nuclide)",Mass Excess in keV (# from systematics),Mass Excess uncertainty in keV (# from systematics),Isomer Excitation Energy in keV (# from systematics),Isomer Excitation Energy uncertainty in keV (# from systematics),Origin of Excitation Energy,Isom.Unc = *  (gs and isomer ordering is uncertain) ,Isom.Inv = &  (the ordering of gs and isomer is reversed compared to ENSDF) ,Half-life (# from systematics); stbl=stable; p-unst=particle unstable,Half-life unit ,Half-life uncertainty,Spin and Parity (* directly measured; # from systematics; T=isospin),Ensdf update year ,Year of Discovery,Decay Modes and their Intensities and Uncertanties in %; IS = Isotopic Abundance in %
88,401,88Zr ,m ,-80741       ,   5       , 2887.79    ,   0.06    ,  , , ,   1.320 ,us, 0.025  ,8+            ,14,1978, IT=100
88,410,88Nb ,  ,-76170       ,  60       ,            ,           ,  ,*, ,  14.50  , m, 0.11   ,(8+)          ,14,1964, B+=100
88,411,88Nb ,m ,-76040       , 100       ,  130       , 120       ,BD,*, ,   7.7   , m, 0.1    ,(4-)          ,14,1971, B+=100
88,420,88Mo ,  ,-72687       ,   4       ,            ,           ,  , , ,   8.0   , m, 0.2    ,0+            ,14,1971, B+=100
88,430,88Tc ,  ,-61670       ,   4       ,            ,           ,  , , ,   6.4   , s, 0.8    ,(2+)          ,14,1991, B+=100;B+p ?
88,431,88Tc ,m ,-61600       ,   5       ,   70       ,   3       ,MD, , ,   5.8   , s, 0.2    ,(6+)          ,14,1993, B+=100;B+p ?
88,432,88Tc ,n ,-61575       ,   4       ,   95       ,   1       ,  , , , 146     ,ns, 12     ,(4+)          ,14,2009, IT=100
88,440,88Ru ,  ,-54340#      , 300#      ,            ,           ,  , , ,   1.5   , s, 0.3    ,0+            ,14,1994, B+=100;B+p<3.6
88,450,88Rh ,  ,-36860#      , 400#      ,            ,           ,  , , ,   1#    ,ms,        ,              ,,, B+ ?
89,320,89Ge ,  ,-33040#      , 400#      ,            ,           ,  , , ,  60#    ,ms, >300ns ,3/2+#         ,13,1997, B- ?;B-n ?;B-2n ?
89,330,89As ,  ,-46530#      , 300#      ,            ,           ,  , , , 220#    ,ms, >150ns ,5/2-#         ,13,1994, B- ?;B-n ?;B-2n ?
89,340,89Se ,  ,-58992       ,   4       ,            ,           ,  , , , 430     ,ms, 50     ,5/2+#         ,13,1971, B-=100;B-n=7.8 25
89,350,89Br ,  ,-68274       ,   3       ,            ,           ,  , , ,   4.357 , s, 0.022  ,"(3/2-,5/2-)   ",13,1959, B-=100;B-n=13.8 4
89,360,89Kr ,  ,-76535.8     ,   2.1     ,            ,           ,  , , ,   3.15  , m, 0.04   ,3/2+*         ,13,1940, B-=100
89,370,89Rb ,  ,-81712       ,   5       ,            ,           ,  , , ,  15.32  , m, 0.10   ,3/2-*         ,13,1940, B-=100
89,380,89Sr ,  ,-86209.03    ,   0.09    ,            ,           ,  , , ,  50.563 , d, 0.025  ,5/2+*         ,13,1937, B-=100
89,390,89Y  ,  ,-87711.2     ,   0.3     ,            ,           ,  , , , stbl    ,  ,        ,1/2-*         ,13,1923, IS=100
89,391,89Y  ,m ,-86802.2     ,   0.3     ,  908.97    ,   0.03    ,  , , ,  15.663 , s, 0.005  ,9/2+*         ,13,1951, IT=100
89,400,89Zr ,  ,-84878.0     ,   2.8     ,            ,           ,  , , ,  78.360 , h, 0.023  ,9/2+          ,13,1948, B+=100
89,401,89Zr ,m ,-84290.2     ,   2.8     ,  587.82    ,   0.10    ,  , , ,   4.161 , m, 0.010  ,1/2-          ,13,1953, IT=93.77 12;B+=6.23 12
89,410,89Nb ,  ,-80626       ,  24       ,            ,           ,  ,*, ,   2.03  , h, 0.07   ,(9/2+)        ,13,1954, B+=100
89,411,89Nb ,m ,-80630#      ,  40#      ,    0#      ,  30#      ,  ,*, ,   1.10  , h, 0.03   ,(1/2)-        ,13,1954, B+=100
89,420,89Mo ,  ,-75015       ,   4       ,            ,           ,  , , ,   2.11  , m, 0.10   ,(9/2+)        ,13,1980, B+=100
89,421,89Mo ,m ,-74628       ,   4       ,  387.5     ,   0.2     ,  , , , 190     ,ms, 15     ,(1/2-)        ,13,1980, IT=100
89,430,89Tc ,  ,-67395       ,   4       ,            ,           ,  , , ,  12.8   , s, 0.9    ,(9/2+)        ,13,1991, B+=100
89,431,89Tc ,m ,-67332       ,   4       ,   62.6     ,   0.5     ,  , , ,  12.9   , s, 0.8    ,(1/2-)        ,13,1991, B+~100;IT ?
89,440,89Ru ,  ,-58369       ,  24       ,            ,           ,  , , ,   1.32  , s, 0.03   ,(9/2+)        ,13,1992, B+=100;B+p=3.1 2
89,450,89Rh ,  ,-45650#      , 360#      ,            ,           ,  , , ,         ,  , <120ns ,9/2+#         ,16,, B+ ?;B+p ?;p ?
90,320,90Ge ,  ,-28470#      , 500#      ,            ,           ,  , , ,  30#    ,ms, >400ns ,0+            ,20,2010, B- ?;B-n ?;B-2n ?
90,330,90As ,  ,-40990#      , 400#      ,            ,           ,  , , ,  70#    ,ms, >300ns ,              ,20,1997, B- ?;B-n ?;B-2n ?
90,331,90As ,m ,-40870#      , 400#      ,  124.5     ,   0.5     ,  , , , 220     ,ns, 100    ,              ,,2012, IT=100
90,340,90Se ,  ,-55800       , 330       ,            ,           ,  , , , 210     ,ms, 80     ,0+            ,20,1994, B-=100;B-n ?
90,350,90Br ,  ,-64000       ,   3       ,            ,           ,  , , ,   1.910 , s, 0.010  ,              ,20,1959, B-=100;B-n=25.3 15
90,360,90Kr ,  ,-74959.3     ,   1.9     ,            ,           ,  , , ,  32.32  , s, 0.09   ,0+            ,20,1951, B-=100
90,370,90Rb ,  ,-79366       ,   6       ,            ,           ,  , , , 158     , s, 5      ,0-*           ,20,1951, B-=100
90,371,90Rb ,m ,-79259       ,   6       ,  106.90    ,   0.03    ,  , , , 258     , s, 4      ,3-*           ,20,1967, B-=97.4 4;IT=2.5 4
90,380,90Sr ,  ,-85950.9     ,   1.4     ,            ,           ,  , , ,  28.91  , y, 0.03   ,0+            ,20,1948, B-=100
90,390,90Y  ,  ,-86496.9     ,   0.4     ,            ,           ,  , , ,  64.05  , h, 0.05   ,2-*           ,20,1937, B-=100
90,391,90Y  ,m ,-85814.9     ,   0.4     ,  682.01    ,   0.05    ,  , , ,   3.226 , h, 0.011  ,7+*           ,20,1961, IT=99.9982 2;B-=0.0018 2
90,400,90Zr ,  ,-88772.55    ,   0.12    ,            ,           ,  , , , stbl    ,  ,        ,0+            ,20,1924, IS=51.45 4
90,401,90Zr ,m ,-86453.55    ,   0.12    , 2319.000   ,   0.009   ,  , , , 809.2   ,ms, 2.0    ,5-            ,20,1972, IT=100
90,402,90Zr ,n ,-85183.13    ,   0.12    , 3589.418   ,   0.015   ,  , , , 131     ,ns, 4      ,8+            ,20,1977, IT=100
90,410,90Nb ,  ,-82662       ,   3       ,            ,           ,  , , ,  14.60  , h, 0.05   ,8+*           ,20,1951, B+=100
90,411,90Nb ,m ,-82540       ,   3       ,  122.370   ,   0.022   ,  , , ,  63     ,us, 2      ,6+            ,20,1967, IT=100
90,412,90Nb ,n ,-82537       ,   3       ,  124.67    ,   0.25    ,  , , ,  18.81  , s, 0.06   ,4-*           ,20,1969, IT=100
90,413,90Nb ,p ,-82491       ,   3       ,  171.10    ,   0.10    ,  , , ,  <1     ,us,        ,7+            ,20,1981, IT=100
90,414,90Nb ,q ,-82280       ,   3       ,  382.01    ,   0.25    ,  , , ,   6.19  ,ms, 0.08   ,1+            ,20,1967," IT=100[gs=0,m=100]"
90,415,90Nb ,r ,-80782       ,   3       , 1880.21    ,   0.20    ,  , , , 471     ,ns, 6      ,(11-)         ,20,1978, IT=100
90,420,90Mo ,  ,-80173       ,   3       ,            ,           ,  , , ,   5.56  , h, 0.09   ,0+            ,20,1953, B+=100
90,421,90Mo ,m ,-77298       ,   3       , 2874.73    ,   0.15    ,  , , ,   1.14  ,us, 0.05   ,8+            ,20,1971, IT=100
90,430,90Tc ,  ,-70724.7     ,   1.0     ,            ,           ,  , , ,  49.2   , s, 0.4    ,(8+)          ,20,1974, B+=100
90,431,90Tc ,m ,-70580.7     ,   1.3     ,  144.0     ,   1.7     ,MD, , ,   8.7   , s, 0.2    ,1+            ,20,1974, B+=100
90,440,90Ru ,  ,-64884       ,   4       ,            ,           ,  , , ,  11.7   , s, 0.9    ,0+            ,20,1991, B+=100
90,450,90Rh ,  ,-51630#      , 200#      ,            ,           ,  ,*, ,  29     ,ms, 3      ,(0+)          ,20,1994, B+=100;B+p<0.7
90,451,90Rh ,m ,-51630#      , 540#      ,    0#      , 500#      ,  ,*, ,   0.56  , s, 0.02   ,(7+)          ,20,2001, B+=100;B+p=9.6 10
90,460,90Pd ,  ,-39710#      , 400#      ,            ,           ,  , , ,  10#    ,ms, >400ns ,0+            ,20,2016, B+ ?; B+p ? 2p ?
91,330,91As ,  ,-36500#      , 400#      ,            ,           ,  , , , 100#    ,ms, >300ns ,5/2-#         ,13,1997, B- ?;B-n ?;B-2n ?
91,340,91Se ,  ,-50580       , 430       ,            ,           ,  , , , 270     ,ms, 50     ,1/2+#         ,13,1975, B-=100;B-n=21 10;B-2n ?
91,350,91Br ,  ,-61107       ,   4       ,            ,           ,  , , , 543     ,ms, 4      ,5/2-#         ,13,1974, B-=100;B-n=29.5 5
91,360,91Kr ,  ,-70974.0     ,   2.2     ,            ,           ,  , , ,   8.57  , s, 0.04   ,5/2+*         ,13,1951, B-=100;B-n ?
91,370,91Rb ,  ,-77745       ,   8       ,            ,           ,  , , ,  58.2   , s, 0.3    ,3/2-*         ,13,1951, B-=100;B-n ?
91,380,91Sr ,  ,-83652       ,   5       ,            ,           ,  , , ,   9.65  , h, 0.06   ,5/2+*         ,13,1943, B-=100
91,390,91Y  ,  ,-86351.3     ,   1.8     ,            ,           ,  , , ,  58.51  , d, 0.06   ,1/2-*         ,13,1943, B-=100
91,391,91Y  ,m ,-85795.7     ,   1.8     ,  555.58    ,   0.05    ,  , , ,  49.71  , m, 0.04   ,9/2+          ,13,1953, IT~100;B- ?
91,400,91Zr ,  ,-87895.59    ,   0.09    ,            ,           ,  , , , stbl    ,  ,        ,5/2+*         ,13,1934, IS=11.22 5
91,401,91Zr ,m ,-84728.3     ,   0.4     , 3167.3     ,   0.4     ,  , , ,   4.35  ,us, 0.14   ,(21/2+)       ,13,1985, IT=100
91,410,91Nb ,  ,-86638.0     ,   2.9     ,            ,           ,  , , , 680     , y, 130    ,9/2+*         ,13,1951, EC~100;e+=0.0138 25
91,411,91Nb ,m ,-86533.4     ,   2.9     ,  104.60    ,   0.05    ,  , , ,  60.86  , d, 0.22   ,1/2-*         ,13,1950, IT=96.6 5;EC=3.4 5;e+=0.0028 2
91,412,91Nb ,n ,-84603.6     ,   2.9     , 2034.42    ,   0.20    ,  , , ,   3.76  ,us, 0.12   ,(17/2-)       ,13,1974, IT=100
91,420,91Mo ,  ,-82209       ,   6       ,            ,           ,  , , ,  15.49  , m, 0.01   ,9/2+          ,13,1948, B+=100
91,421,91Mo ,m ,-81556       ,   6       ,  653.01    ,   0.09    ,  , , ,  64.6   , s, 0.6    ,1/2-          ,13,1953, IT=50.0 16;B+=50.0 16
91,430,91Tc ,  ,-75986.7     ,   2.4     ,            ,           ,  , , ,   3.14  , m, 0.02   ,(9/2)+        ,13,1974, B+=100
91,431,91Tc ,m ,-75847.4     ,   2.4     ,  139.3     ,   0.3     ,  , , ,   3.3   , m, 0.1    ,(1/2)-        ,13,1975, B+~100;IT ?
91,440,91Ru ,  ,-68239.8     ,   2.2     ,            ,           ,  ,*, ,   8.0   , s, 0.4    ,(9/2+)        ,13,1983, B+=100;B+p ?
91,441,91Ru ,m ,-68580       , 500       , -340       , 500       ,BD,*, ,   7.6   , s, 0.8    ,(1/2-)        ,13,1983, B+~100;B+p=?;IT ?
91,450,91Rh ,  ,-58570#      , 300#      ,            ,           ,  , , ,   1.47  , s, 0.22   ,(9/2+)        ,13,1994, B+=100;B+p=1.3 5
91,451,91Rh ,m ,-58400#      , 300#      ,  172.9     ,   0.4     ,  , , ,   1.8#  , s,        ,1/2-#         ,13,2004, B+ ?;IT ?; B+p ?
91,460,91Pd ,  ,-46170#      , 420#      ,            ,           ,  , , ,  32     ,ms, 3      ,7/2+#         ,13,1995, B+=100;B+p=3.1 10
92,330,92As ,  ,-30380#      , 500#      ,            ,           ,  , , ,  45#    ,ms, >300ns ,              ,12,1997, B- ?;B-n ?;B-2n ?
92,340,92Se ,  ,-46720#      , 400#      ,            ,           ,  , , ,  90#    ,ms, >300ns ,0+            ,12,1997, B- ?;B-n ?;B-2n ?
92,341,92Se ,m ,-44780#      , 400#      , 3072       ,  2        ,  , , ,  15.7   ,us, 0.7    ,(9-)          ,,2012, IT=100
92,350,92Br ,  ,-56233       ,   7       ,            ,           ,  , , , 314     ,ms, 16     ,(2-)          ,12,1974, B-=100;B-n=33.1 25;B-2n ?
92,351,92Br ,m ,-55571       ,   7       ,  662       ,   1       ,  , , ,  88     ,ns, 8      ,              ,,2012, IT=100
92,352,92Br ,n ,-55095       ,   7       , 1138       ,   1       ,  , , ,  85     ,ns, 10     ,              ,,2012, IT=100
92,360,92Kr ,  ,-68769.3     ,   2.7     ,            ,           ,  , , ,   1.840 , s, 0.008  ,0+            ,12,1951, B-=100;B-n=0.0332 25
92,370,92Rb ,  ,-74772       ,   6       ,            ,           ,  , , ,   4.48  , s, 0.03   ,0-*           ,12,1960, B-=100;B-n=0.0107 5
92,380,92Sr ,  ,-82867       ,   3       ,            ,           ,  , , ,   2.611 , h, 0.017  ,0+            ,12,1956, B-=100
92,390,92Y  ,  ,-84816       ,   9       ,            ,           ,  , , ,   3.54  , h, 0.01   ,2-*           ,12,1940, B-=100
92,391,92Y  ,m ,-84010#      ,  50#      ,  807#      ,  50#      ,  , , ,   3.7   ,us, 0.5    ,7+#           ,12,2009, IT=100
92,400,92Zr ,  ,-88459.02    ,   0.09    ,            ,           ,  , , , stbl    ,  ,        ,0+            ,12,1924, IS=17.15 3
92,410,92Nb ,  ,-86453.3     ,   1.8     ,            ,           ,  , , ,  34.7   ,My, 2.4    ,7+*           ,12,1938, B+=100
92,411,92Nb ,m ,-86317.8     ,   1.8     ,  135.5     ,   0.4     ,  , , ,  10.116 , d, 0.013  ,(2)+          ,12,1959, B+=100
92,412,92Nb ,n ,-86227.5     ,   1.8     ,  225.8     ,   0.4     ,  , , ,   5.9   ,us, 0.2    ,(2)-          ,12,1958, IT=100
92,413,92Nb ,p ,-84250.0     ,   1.8     , 2203.3     ,   0.4     ,  , , , 167     ,ns, 4      ,(11-)         ,12,1989, IT=100
92,420,92Mo ,  ,-86808.59    ,   0.16    ,            ,           ,  , , , stbl    ,  , >190Ey ,0+            ,12,1930, IS=14.649 106;2B+ ?
92,421,92Mo ,m ,-84048.07    ,   0.21    , 2760.52    ,   0.14    ,  , , , 190     ,ns, 3      ,8+            ,12,1964, IT=100
92,430,92Tc ,  ,-78926       ,   3       ,            ,           ,  , , ,   4.25  , m, 0.15   ,(8)+          ,12,1964, B+=100
92,431,92Tc ,m ,-78656       ,   3       ,  270.09    ,   0.08    ,  , , ,   1.03  ,us, 0.06   ,(4+)          ,12,1976, IT=100
92,432,92Tc ,n ,-78397       ,   3       ,  529.42    ,   0.13    ,  , , ,  <0.1   ,us,        ,(3+)          ,12,1976, IT=100
92,433,92Tc ,p ,-78215       ,   3       ,  711.33    ,   0.15    ,  , , ,  <0.1   ,us,        ,1+            ,12,1976, IT=100
92,440,92Ru ,  ,-74301.2     ,   2.7     ,            ,           ,  , , ,   3.65  , m, 0.05   ,0+            ,12,1971, B+=100
92,441,92Ru ,m ,-71467       ,   3       , 2833.9     ,   1.8     ,  , , , 100     ,ns, 8      ,(8+)          ,12,1980, IT=100
92,450,92Rh ,  ,-62999       ,   4       ,            ,           ,  , , ,   5.61  , s, 0.08   ,(6+)          ,12,1994, B+=100;B+p=2.05 7
92,451,92Rh ,m ,-62950#      , 100#      ,   50#      , 100#      ,  , , ,  3.18   , s, 0.22   ,(2+)          ,12,2004, B+=100;B+p=1.7 3
92,452,92Rh ,n ,-62890#      , 100#      ,  105#      , 100#      ,  , , , 232     ,ns, 15     ,(4+)          ,,2017, IT=100
92,460,92Pd ,  ,-54780       , 350       ,            ,           ,  , , ,   1.06  , s, 0.03   ,0+            ,12,1994, B+=100;B+p=1.6 2
92,470,92Ag ,  ,-37530#      , 400#      ,            ,           ,  , , ,   1#    ,ms, >400ns ,              ,16,2016, B+ ?; p ?
93,340,93Se ,  ,-40860#      , 400#      ,            ,           ,  , , , 130#    ,ms, >300ns ,1/2+#         ,11,1997, B- ?;B-n ?;B-2n ?
93,341,93Se ,m ,-40180#      , 400#      ,  678.2     ,   0.7     ,  , , , 420     ,ns, 100    ,              ,,2012, IT=100
93,350,93Br ,  ,-52890       , 430       ,            ,           ,  , , , 152     ,ms, 8      ,5/2-#         ,11,1981, B-=100;B-n=64 6;B-2n ?
93,360,93Kr ,  ,-64136.0     ,   2.5     ,            ,           ,  , , ,   1.287 , s, 0.010  ,1/2+*         ,11,1951, B-=100;B-n=1.95 11
93,370,93Rb ,  ,-72620       ,   8       ,            ,           ,  , , ,   5.84  , s, 0.02   ,5/2-*         ,11,1960, B-=100;B-n=1.39 7
93,371,93Rb ,m ,-68197       ,   8       , 4423.1     ,   1.5     ,  , , , 111     ,ns, 11     ,(27/2-)       ,11,2010, IT=100
93,380,93Sr ,  ,-80086       ,   8       ,            ,           ,  , , ,   7.43  , m, 0.03   ,5/2+*         ,11,1959, B-=100
93,390,93Y  ,  ,-84227       ,  10       ,            ,           ,  , , ,  10.18  , h, 0.08   ,1/2-*         ,11,1948, B-=100
93,391,93Y  ,m ,-83468       ,  10       ,  758.719   ,   0.021   ,  , , , 820     ,ms, 40     ,9/2+*         ,11,1974, IT=100
93,400,93Zr ,  ,-87122.0     ,   0.5     ,            ,           ,  , , ,   1.61  ,My, 0.05   ,5/2+          ,11,1950, B-=100
93,410,93Nb ,  ,-87212.8     ,   1.5     ,            ,           ,  , , , stbl    ,  ,        ,9/2+*         ,11,1932, IS=100
93,411,93Nb ,m ,-87182.0     ,   1.5     ,   30.760   ,   0.005   ,  , , ,  16.12  , y, 0.12   ,1/2-          ,11,1965, IT=100
93,412,93Nb ,n ,-79753       ,  17       , 7460       ,  17       ,  , , ,   1.5   ,us, 0.5    ,33/2-#        ,11,2007, IT=100
93,420,93Mo ,  ,-86807.08    ,   0.18    ,            ,           ,  , , ,   4.0   ,ky, 0.8    ,5/2+          ,11,1946, EC=100
93,421,93Mo ,m ,-84382.13    ,   0.18    , 2424.95    ,   0.04    ,  , , ,   6.85  , h, 0.07   ,21/2+         ,11,1950, IT=99.88 1;B+=0.12 1
93,422,93Mo ,n ,-77112       ,  17       , 9695       ,  17       ,  , , ,   1.8   ,us, 1.0    ,(39/2-)       ,11,2005, IT=100
93,430,93Tc ,  ,-83606.1     ,   1.0     ,            ,           ,  , , ,   2.75  , h, 0.05   ,9/2+          ,11,1948, B+=100
93,431,93Tc ,m ,-83214.3     ,   1.0     ,  391.84    ,   0.08    ,  , , ,  43.5   , m, 1.0    ,1/2-          ,11,1939, IT=77.4 6;B+=22.6 6
93,432,93Tc ,n ,-81420.9     ,   1.0     , 2185.16    ,   0.15    ,  , , ,  10.2   ,us, 0.3    ,(17/2)-       ,11,1973, IT=100
93,440,93Ru ,  ,-77216.7     ,   2.1     ,            ,           ,  , , ,  59.7   , s, 0.6    ,(9/2)+        ,11,1972, B+=100
93,441,93Ru ,m ,-76482.3     ,   2.1     ,  734.40    ,   0.10    ,  , , ,  10.8   , s, 0.3    ,(1/2)-        ,11,1983, B+=78.0 23;IT=22.0 23;B+p=0.027 5
93,442,93Ru ,n ,-75134.2     ,   2.3     , 2082.5     ,   0.9     ,  , , ,   2.30  ,us, 0.07   ,(21/2)+       ,11,1983, IT=100
93,450,93Rh ,  ,-69011.8     ,   2.6     ,            ,           ,  , , ,  13.9   , s, 1.6    ,9/2+#         ,11,1994, B+=100
93,460,93Pd ,  ,-58980       , 370       ,            ,           ,  , , ,   1.17  , s, 0.02   ,(9/2+)        ,11,1994, B+=100;B+p=7.4 2
93,470,93Ag ,  ,-46400#      , 400#      ,            ,           ,  , , , 228     ,ns, 16     ,9/2+#         ,16,1994, p=?; B+ ?;B+p ?
94,340,94Se ,  ,-36800#      , 500#      ,            ,           ,  , , ,  50#    ,ms, >300ns ,0+            ,6,1997, B- ?;B-n ?;B-2n ?
94,341,94Se ,m ,-34370#      , 500#      , 2430.0     ,   0.6     ,  , , , 680     ,ns, 50     ,(7-)          ,,2020, IT=100
94,350,94Br ,  ,-47650#      , 200#      ,            ,           ,  , , ,  70     ,ms, 20     ,2-#           ,6,1981, B-=100;B-n=68 16;B-2n ?
94,351,94Br ,m ,-47360#      , 200#      ,  294.6     ,   0.5     ,  , , , 530     ,ns, 15     ,              ,,2012, IT=100
94,360,94Kr ,  ,-61348       ,  12       ,            ,           ,  , , , 212     ,ms, 4      ,0+            ,11,1972, B-=100;B-n=1.11 7
94,370,94Rb ,  ,-68562.8     ,   2.0     ,            ,           ,  , , ,   2.702 , s, 0.005  ,3-*           ,11,1961, B-=100;B-n=10.3 3
94,371,94Rb ,m ,-68458.6     ,   2.0     ,  104.2     ,   0.2     ,  , , , 130     ,ns, 15     ,(0-)          ,,2016, IT=100
94,372,94Rb ,n ,-66487.9     ,   2.4     , 2074.9     ,   1.4     ,  , , , 107     ,ns, 16     ,(10-)         ,11,2008, IT=100
94,380,94Sr ,  ,-78845.7     ,   1.7     ,            ,           ,  , , ,  75.3   , s, 0.2    ,0+            ,11,1959, B-=100
94,390,94Y  ,  ,-82351       ,   6       ,            ,           ,  , , ,  18.7   , m, 0.1    ,2-*           ,6,1948, B-=100
94,391,94Y  ,m ,-81149       ,   6       , 1202.3     ,   1.0     ,  , , ,   1.304 ,us, 0.012  ,(5+)          ,6,1999, IT=100
94,400,94Zr ,  ,-87269.33    ,   0.16    ,            ,           ,  , , , stbl    ,  , >110Py ,0+            ,6,1924, IS=17.38 4;2B- ?
94,410,94Nb ,  ,-86369.1     ,   1.5     ,            ,           ,  , , ,  20.4   ,ky, 0.4    ,6+            ,6,1938, B-=100
94,411,94Nb ,m ,-86328.2     ,   1.5     ,   40.892   ,   0.012   ,  , , ,   6.263 , m, 0.004  ,3+            ,6,1962, IT=99.50 6;B-=0.50 6
94,420,94Mo ,  ,-88414.08    ,   0.14    ,            ,           ,  , , , stbl    ,  ,        ,0+            ,6,1930, IS=9.187 33
94,430,94Tc ,  ,-84158       ,   4       ,            ,           ,  , , , 293     , m, 1      ,7+*           ,6,1948, B+=100
94,431,94Tc ,m ,-84082       ,   5       ,   76       ,   3       ,  , , ,  52     , m, 1      ,(2)+          ,6,1948, B+~100;IT<0.18
94,440,94Ru ,  ,-82584       ,   3       ,            ,           ,  , , ,  51.8   , m, 0.6    ,0+            ,6,1952, B+=100
94,441,94Ru ,m ,-79940       ,   3       , 2644.1     ,   0.4     ,  , , ,  67.5   ,us, 2.8    ,8+            ,6,1971, IT=100
94,450,94Rh ,  ,-72908       ,   3       ,            ,           ,  ,*, ,  70.6   , s, 0.6    ,(4+)          ,6,1979, B+=100;B+p=1.8 5
94,451,94Rh ,m ,-72853       ,   3       ,   54.60    ,   0.20    ,  , , , 480     ,ns, 30     ,(2+)          ,6,2004, IT=100
94,452,94Rh ,n ,-72610#      , 200#      ,  300#      , 200#      ,  ,*, ,  25.8   , s, 0.2    ,(8+)          ,6,1973, B+=100
94,460,94Pd ,  ,-66102       ,   4       ,            ,           ,  , , ,   9.1   , s, 0.3    ,0+            ,6,1982, B+=100;B+p<0.13
94,461,94Pd ,m ,-61219       ,   4       , 4883.1     ,   0.4     ,  , , , 515     ,ns, 1      ,(14+)         ,6,1995, IT=100
94,462,94Pd ,n ,-58892       ,   4       , 7209.8     ,   0.8     ,  , , , 206     ,ns, 18     ,(19-)         ,,2011, IT=100
94,470,94Ag ,  ,-52400#      , 400#      ,            ,           ,  , , ,  27     ,ms, 2      ,0+#           ,6,1994, B+=100;B+p<0.2
94,471,94Ag ,m ,-51050#      , 570#      , 1350#      , 400#      ,  , , , 470     ,ms, 10     ,(7+)          ,6,1994, B+=100;B+p=17.0 6
94,472,94Ag ,n ,-45900       , 370       , 6500#      , 550#      ,  , , , 400     ,ms, 40     ,(21+)         ,6,2002, B+=95.4 7;B+p~27;p=4.1 6;2p=0.5 3
94,480,94Cd ,  ,-40440#      , 500#      ,            ,           ,  , , ,  80#    ,ms, >760ns ,0+            ,16,2016, B+ ?; B+p ?
95,340,95Se ,  ,-30460#      , 500#      ,            ,           ,  , , ,  70#    ,ms, >400ns ,3/2+#         ,12,2010, B- ?;B-n ?;B-2n ?
95,350,95Br ,  ,-43850#      , 300#      ,            ,           ,  , , ,  80#    ,ms, >300ns ,5/2-#         ,10,1997, B- ?;B-n ?;B-2n ?
95,351,95Br ,m ,-43310#      , 300#      ,  537.9     ,   0.5     ,  , , ,   6.8   ,us, 1.0    ,              ,,2012, IT=100
95,360,95Kr ,  ,-56159       ,  19       ,            ,           ,  , , , 114     ,ms, 3      ,1/2+*         ,10,1994, B-=100;B-n=2.87 18;B-2n ?
95,361,95Kr ,m ,-55964       ,  19       ,  195.5     ,   0.3     ,  , , ,   1.582 ,us, 0.022  ,(7/2+)        ,10,2006, IT=100
95,370,95Rb ,  ,-65890       ,  20       ,            ,           ,  , , , 377.7   ,ms, 0.8    ,5/2-*         ,10,1967, B-=100;B-n=8.7 3
95,371,95Rb ,m ,-65055       ,  20       ,  835.0     ,   0.6     ,  , , ,<500     ,ns,        ,9/2+#         ,10,2009, IT=100
95,380,95Sr ,  ,-75117       ,   6       ,            ,           ,  , , ,  23.90  , s, 0.14   ,1/2+*         ,10,1961, B-=100
95,390,95Y  ,  ,-81208       ,   7       ,            ,           ,  , , ,  10.3   , m, 0.1    ,1/2-*         ,10,1959, B-=100
95,391,95Y  ,m ,-80120       ,   7       , 1087.6     ,   0.6     ,  , , ,  48.6   ,us, 0.5    ,9/2+          ,10,1981, IT=100
95,400,95Zr ,  ,-85659.9     ,   0.9     ,            ,           ,  , , ,  64.032 , d, 0.006  ,5/2+          ,10,1946, B-=100
95,410,95Nb ,  ,-86786.3     ,   0.5     ,            ,           ,  , , ,  34.991 , d, 0.006  ,9/2+          ,10,1951, B-=100
95,411,95Nb ,m ,-86550.6     ,   0.5     ,  235.69    ,   0.02    ,  , , ,   3.61  , d, 0.03   ,1/2-          ,10,1969, IT=94.4 6;B-=5.6 6
95,420,95Mo ,  ,-87711.87    ,   0.12    ,            ,           ,  , , , stbl    ,  ,        ,5/2+*         ,10,1930, IS=15.873 30
95,430,95Tc ,  ,-86021       ,   5       ,            ,           ,  , , ,  19.258 , h, 0.026  ,9/2+*         ,10,1947, B+=100
95,431,95Tc ,m ,-85982       ,   5       ,   38.91    ,   0.04    ,  , , ,  61.96  , d, 0.24   ,1/2-          ,10,1959, B+=96.1 3;IT=3.9 3
95,440,95Ru ,  ,-83458       ,  10       ,            ,           ,  , , ,   1.607 , h, 0.004  ,5/2+          ,10,1948, B+=100
95,450,95Rh ,  ,-78341       ,   4       ,            ,           ,  , , ,   5.02  , m, 0.10   ,(9/2)+        ,10,1967, B+=100
95,451,95Rh ,m ,-77798       ,   4       ,  543.3     ,   0.3     ,  , , ,   1.96  , m, 0.04   ,(1/2)-        ,10,1974, IT=88 5;B+=12 5
